3,Unknown,Unknown,Unknown,16:47:46,28/11/2024,Present
<built-in function id>,Unknown,Unknown,Unknown,20:37:19,28/11/2024,Present
Unknown,Unknown,Unknown,14:00:44,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:44,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:45,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:45,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:45,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:45,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:45,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:46,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:46,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:46,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:46,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:46,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:47,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:48,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:48,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:48,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:48,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:48,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:48,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:48,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:48,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:48,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:48,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:48,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:49,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:49,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:49,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:49,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:49,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:49,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:49,30/11/2024,Present
Unknown,Unknown,Unknown,14:00:49,30/11/2024,Present
